Date,Open,High,Low,Close,Volume,"EMA(5,Modern)","EMA(10,Modern)","EMA(20,Modern)","EMA(50,Modern)","EMA(100,Modern)","KST(10,10|15,10|20,10|30,15)",SMA(10),RSI(14),"MACD(12,26)","EMA(9,Modern)",Histogram
11/29/16,118.63,119.51,118.3,118.94,18552957,118.578689,118.0851692,117.5974577,117.1392709,115.7912086,2.40318263,-9.58029911,57.98257882,0.447217227,0.135347165,0.311870061
11/30/16,119.06,119.1335,117.46,117.5,30405342,118.219126,117.9787748,117.5881761,117.1534171,115.825046,4.076745731,-7.462628569,50.12134669,0.379387593,0.184155251,0.195232342
12/1/16,117.46,117.47,115.29,115.47,39796590,117.3027507,117.5226339,117.386445,117.0874008,115.8180154,3.693308682,-5.400861766,41.5658049,0.159983891,0.179320979,-0.019337088
12/2/16,115.57,116.16,115.22,115.7,32876845,116.7685005,117.1912459,117.2258312,117.0329929,115.8156785,3.6368974,-3.550634708,42.75802348,0.004610803,0.144378944,-0.139768141
12/5/16,116.32,117.06,115.77,116.6,21419667,116.7123336,117.0837467,117.1662282,117.0160128,115.8312096,4.648702898,-1.812366187,47.28993797,-0.045377922,0.106427571,-0.151805492
12/6/16,116.88,117.08,116.39,116.88,27293348,116.7682224,117.0467018,117.1389684,117.0106789,115.8519777,5.124949003,-0.133141469,48.65198148,-0.061689567,0.072804143,-0.13449371
12/7/16,116.64,118.51,116.2919,118.36,26622442,117.2988149,117.2854833,117.2552571,117.0635935,115.9016415,5.506236777,1.435925529,55.23631274,0.044296346,0.067102584,-0.022806237
12/8/16,118.4,118.87,118.18,118.57,18578433,117.7225433,117.5190318,117.3804707,117.1226683,115.9544803,5.864127239,2.88353497,56.09657068,0.143581078,0.082398283,0.061182796
12/9/16,119.03,119.5402,119,119.5,21863133,118.3150289,117.8792078,117.5823307,117.215897,116.0246886,6.443134101,4.017987643,59.78264961,0.293920044,0.124702635,0.169217409
12/12/16,118.95,119.21,118.47,118.96,23259310,118.5300192,118.0757155,117.7135373,117.2842932,116.0828136,6.799185692,4.819647015,56.8006017,0.365280544,0.172818217,0.192462327
12/13/16,119.35,121.11,119.32,120.46,54477889,119.1733462,118.5092218,117.9751051,117.4088307,116.1694906,8.398508165,5.419179569,62.40974923,0.536685146,0.245591603,0.291093543
12/14/16,120.56,121,119.86,120.21,28745991,119.5188974,118.8184542,118.1879523,117.5186805,116.2495007,9.972058339,6.00871083,60.98840307,0.64491741,0.325456764,0.319460646
12/15/16,120.37,121.11,120.08,120.4,22762305,119.8125983,119.106008,118.3986235,117.6316734,116.3316888,13.02863935,6.942243897,61.70227237,0.737521978,0.407869807,0.329652171
12/16/16,120.28,120.5817,119.36,119.6,26283907,119.7417322,119.1958247,118.5130403,117.7088627,116.3964078,14.60611939,8.039166096,56.97480145,0.737852941,0.473866434,0.263986508
12/19/16,119.74,120.83,119.55,120.09,21138658,119.8578215,119.358402,118.6632269,117.8022406,116.4695482,16.21611323,9.195907129,59.04460716,0.768791982,0.532851543,0.235940438
12/20/16,120.43,120.77,120.33,120.55,11461799,120.0885476,119.5750562,118.8429196,117.9099959,116.5503493,17.39901478,10.42331371,60.94410884,0.820965965,0.590474428,0.230491537
12/21/16,120.57,120.68,120.19,120.46,7079300,120.2123651,119.7359551,118.9969273,118.009996,116.6277681,18.67508307,11.74019834,60.35430688,0.845307793,0.641441101,0.203866692
12/22/16,120.46,120.5,119.65,120.12,16644996,120.1815767,119.8057814,119.1038866,118.0927413,116.6969212,20.60903235,13.21468885,58.06801053,0.827623381,0.678677557,0.148945824
